block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method
d-block,Fe-O,O,Fe2O3_1456_POSCAR,-0.3663713199358547,11.0827808,-0.99164267450976,-0.6252713545739053,10.2302592,20.8867792,35,local_max_drop
d-block,Fe-O,O,Fe2O3_685153_POSCAR,-0.36230298460555543,11.0191717493,-0.99870686487447,-0.6364038802689146,10.1715431532,20.7669006044,35,local_max_drop
d-block,Fe-O,O,Fe32O35_863766_POSCAR,-0.3125224517227894,3.8619247904,-0.66571042800882,-0.35318797628603055,3.5529708072,7.5693725893,35,local_max_drop
d-block,Fe-O,O,Fe41O56_757565_POSCAR,-0.2572547004958447,13.3800889595,-0.68461960850101,-0.4273649080051653,12.3508513473,25.2163215007,35,local_max_drop
d-block,Fe-O,O,FeO_1245001_POSCAR,-0.2557745286063249,13.2585033974,-0.61410035517814,-0.3583258265718151,12.1978231257,25.986666659,35,local_max_drop
d-block,Fe-O,O,FeO_1244983_POSCAR,-0.2498152573790734,13.3118772044,-0.61009219926855,-0.36027694188947657,12.246927028,26.0912793205,35,local_max_drop
d-block,Fe-O,O,Fe43O64_530050_POSCAR,-0.24504226243197402,11.0892888206,-0.66996195438234,-0.42491969195036594,10.2362666036,20.8990443157,35,local_max_drop
d-block,Fe-O,O,Fe23O25_705553_POSCAR,-0.23424477379551645,8.1786245113,-0.48784165291668,-0.2535968791211636,7.5243345504,16.0301040422,35,local_max_drop
d-block,Fe-O,O,FeO_1245168_POSCAR,-0.21773365077205326,13.1212368071,-0.55992833580128,-0.34219468502922673,12.0715378625,25.7176241419,35,local_max_drop
d-block,Fe-O,O,Fe21O23_706875_POSCAR,-0.207581693985602,8.2700874221,-0.43791507045927,-0.23033337647366797,7.6084804283,16.2093713473,35,local_max_drop
d-block,Fe-O,O,Fe10O11_705555_POSCAR,-0.19693840727870032,8.2601916609,-0.41600920084408,-0.21907079356537967,7.599376328,16.1899756554,35,local_max_drop
d-block,Fe-O,O,Fe25O32_1194978_POSCAR,-0.18793156022559737,19.784279112,-0.47981331472758,-0.2918817545019826,17.501477676,37.285756788,35,local_max_drop
d-block,Fe-O,O,Fe17O18_705424_POSCAR,-0.17754459755395488,8.5162617494,-0.36706189912878,-0.18951730157482513,7.8349608095,16.6918730289,35,local_max_drop
d-block,Fe-O,O,Fe2O3_1244869_POSCAR,-0.16785184268280468,13.846492162,-0.45591721263991,-0.2880653699571053,12.7813773803,26.0953121515,35,local_max_drop
d-block,Fe-O,O,Fe2O3_1245019_POSCAR,-0.16566926643041197,11.9094528677,-0.43273399723107,-0.267064730800658,10.9933411087,22.4447380969,35,local_max_drop
d-block,Fe-O,O,Fe2O3_1244911_POSCAR,-0.1617074042611391,11.2359837197,-0.44872992747061,-0.2870225232094709,10.3716772797,21.1755077794,35,local_max_drop
d-block,Fe-O,O,Fe3O4_705416_POSCAR,-0.1488125854069823,7.7011636,-0.39609982122623,-0.2472872358192477,7.1087664,14.5137314,35,local_max_drop
d-block,Fe-O,O,Fe14O15_764417_POSCAR,-0.14852718132419437,7.7816215904,-0.30423191755654,-0.15570473623234563,7.1590918632,15.2519783172,35,local_max_drop
d-block,Fe-O,O,Fe8O9_705588_POSCAR,-0.1453919085067881,7.7389339647,-0.31775655650113,-0.1723646479943419,7.1198192475,15.1683105708,35,local_max_drop
d-block,Fe-O,O,Fe2O3_1245154_POSCAR,-0.14367585351553935,13.3401376763,-0.40488507016032,-0.26120921664478064,12.3139732397,25.1410286977,35,local_max_drop
d-block,Fe-O,O,Fe3O4_650112_POSCAR,-0.14271503610801478,7.880548,-0.40254394990504,-0.2598289137970252,6.971254,14.851802,35,local_max_drop
d-block,Fe-O,O,Fe3O4_1185276_POSCAR,-0.1418498355825314,7.9378327286,-0.4005577133601,-0.2587078777775686,7.0219289522,14.9597616808,35,local_max_drop
d-block,Fe-O,O,Fe3O4_1182249_POSCAR,-0.14175870202642005,7.9011800915,-0.40007050778162,-0.25831180575519996,6.9895054656,14.8906855571,35,local_max_drop
d-block,Fe-O,O,Fe23O32_776135_POSCAR,-0.14130820293206475,10.944136077,-0.38310087158457,-0.24179266865250526,10.1022794557,20.6254872221,35,local_max_drop
d-block,Fe-O,O,Fe3O4_1181813_POSCAR,-0.1408402771567775,7.9146236,-0.39764586292014,-0.2568055857633625,7.0013978,14.9160214,35,local_max_drop
d-block,Fe-O,O,Fe3O4_1182229_POSCAR,-0.1365794987081963,7.9198691706,-0.40405774512791,-0.2674782464197137,7.3106484651,14.925907283,35,local_max_drop
d-block,Fe-O,O,Fe3O4_1379262_POSCAR,-0.13522644889900154,7.9189201,-0.40321014272862,-0.26798369382961845,7.3097724,14.92411865,35,local_max_drop
d-block,Fe-O,O,Fe2O3_1245078_POSCAR,-0.13502700528258055,13.0070500344,-0.4009819452993,-0.26595494001671943,12.0065077241,24.5132866033,35,local_max_drop
d-block,Fe-O,O,Fe13O14_705414_POSCAR,-0.1336895346455679,8.2002132404,-0.27820499531297,-0.1445154606674021,7.5441961812,16.0724179511,35,local_max_drop
d-block,Fe-O,O,Fe15O16_705551_POSCAR,-0.13090344319253408,7.8086394483,-0.29609740999339,-0.16519396680085593,7.1839482924,15.3049333186,35,local_max_drop
d-block,Fe-O,O,Fe2O3_1245277_POSCAR,-0.12837503838971864,13.3263006099,-0.38238910427935,-0.2540140658896314,12.301200563,25.1149511495,35,local_max_drop
d-block,Fe-O,O,Fe23O32_774295_POSCAR,-0.12717037084613836,11.2363469332,-0.36429955609511,-0.23712918524897164,9.9878639406,20.3918888788,35,local_max_drop
d-block,Fe-O,O,Fe12O13_764326_POSCAR,-0.1257354598636146,8.2009186517,-0.25801790831734,-0.13228244845372542,7.5448451596,16.0738005573,35,local_max_drop
d-block,Fe-O,O,Fe7O8_715333_POSCAR,-0.1188969526231056,7.3006695019,-0.27206214295464,-0.1531651903315344,6.7166159417,14.3093122237,35,local_max_drop
d-block,Fe-O,O,Fe2O3_1245084_POSCAR,-0.11606699219651351,13.8846973845,-0.38272387312218,-0.2666568809256665,12.8166437396,26.1673143016,35,local_max_drop
d-block,Fe-O,O,Fe15O16_1224936_POSCAR,-0.1157035076815763,7.4460829822,-0.28817675384873,-0.17247324616715368,6.8503963436,14.594322645,35,local_max_drop
d-block,Fe-O,O,Fe13O15_756693_POSCAR,-0.11527357585888195,6.3752049713,-0.25473086930093,-0.13945729344204802,5.8651885736,12.4954017437,35,local_max_drop
d-block,Fe-O,O,Fe21O32_530048_POSCAR,-0.11140679086778832,11.1936876236,-0.31227567743747,-0.20086888656968166,10.3645255774,20.3144701318,35,local_max_drop
d-block,Fe-O,O,FeO_849689_POSCAR,-0.11092744398569801,6.634828225,-0.24142221778859,-0.13049477380289198,6.104041967,13.004263321,35,local_max_drop
d-block,Fe-O,O,Fe11O12_705417_POSCAR,-0.11021405237746963,6.988906237,-0.23148748074352,-0.12127342836605036,6.4297937381,13.6982562246,35,local_max_drop
d-block,Fe-O,O,Fe2O3_715572_POSCAR,-0.10966056471181762,9.9145737979,-0.28564130686365,-0.1759807421518324,9.151914275,18.6851583115,35,local_max_drop
d-block,Fe-O,O,FeO_1178247_POSCAR,-0.10884195548720854,6.64894305,-0.24024589929813,-0.13140394381092146,6.117027606,13.031928378,35,local_max_drop
d-block,Fe-O,O,Fe2O3_776606_POSCAR,-0.1086837692005313,6.685347297,-0.28238540933562,-0.1737016401350887,6.1710898126,12.5993083675,35,local_max_drop
d-block,Fe-O,O,Fe2O3_1356129_POSCAR,-0.10618383541277787,8.7467892675,-0.2730519476331,-0.1668681122203221,8.0739593239,16.4843336196,35,local_max_drop
