block,chemsys,metal_1,metal_2,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method
d-block,Co-Y-O,Co,Y,O,Y_CoO2_2_1383697_POSCAR,-0.08088908857170009,7.0342678091,-0.13580819254842,-0.05491910397671991,5.7781485575,12.3099686659,35,local_max_drop
d-block,Co-Y-O,Co,Y,O,Y2Co2O5_1187759_POSCAR,-0.07485995723824798,5.2787098,-0.11120926216849,-0.036349304930242014,4.5246084,9.23774215,35,local_max_drop
d-block,Co-Zn-O,Co,Zn,O,Zn5Co19O32_861852_POSCAR,-0.21168232292513625,7.4214641907,-0.45666445653094,-0.24498213360580376,6.5651413994,13.9866055901,35,local_max_drop
d-block,Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1350001_POSCAR,-0.19607246235008247,7.5361012434,-0.45688509435037,-0.26081263200028754,6.9564011477,14.2026523433,35,local_max_drop
d-block,Co-Zn-O,Co,Zn,O,Zn_CoO2_2_530742_POSCAR,-0.1861978569844515,6.688636315,-0.435298755113,-0.2491008981285485,6.1741258293,12.6055069014,35,local_max_drop
d-block,Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1379105_POSCAR,-0.15069359370639102,7.6200411998,-0.34528131876416,-0.194587725057769,7.0338841844,14.3608468765,35,local_max_drop
d-block,Co-Zn-O,Co,Zn,O,ZnCo5O7_1370323_POSCAR,-0.1440656467982649,6.597621888,-0.27221584712824,-0.1281502003299751,5.582603136,12.433979712,35,local_max_drop
d-block,Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1040942_POSCAR,-0.14093860631420208,7.740334836,-0.32294920117006,-0.1820105948558579,7.144924464,14.587554114,35,local_max_drop
d-block,Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1041156_POSCAR,-0.13892838718044076,7.738980691,-0.32421728418472,-0.18528889700427925,7.143674484,14.5850020715,35,local_max_drop
d-block,Co-Zn-O,Co,Zn,O,Zn2Co9O13_1045890_POSCAR,-0.12963783272667634,6.3959715405,-0.25096312772037,-0.12132529499369366,5.6284549556,12.5361042193,35,local_max_drop
d-block,Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1340366_POSCAR,-0.12949388505290388,3.65925,-0.26630253556426,-0.1368086505113561,3.22014,7.17213,35,local_max_drop
d-block,Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1042295_POSCAR,-0.12936254512929768,3.6592452395,-0.26606246979486,-0.1366999246655623,3.2201358107,7.1721206694,35,local_max_drop
d-block,Co-Zn-O,Co,Zn,O,ZnCo3O7_1338829_POSCAR,-0.1234821065672368,18.4852665,-0.40838001779792,-0.2848979112306832,15.7467085,33.5473355,35,local_max_drop
d-block,Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1048393_POSCAR,-0.12313935881416602,3.69541,-0.25822839834504,-0.135089039530874,3.2519608,7.2430036,35,local_max_drop
d-block,Co-Zn-O,Co,Zn,O,Zn_Co2O3_2_1043057_POSCAR,-0.1196938236595789,6.4165939625,-0.23010027998392,-0.1104064563243411,5.646602687,12.5765241665,35,local_max_drop
d-block,Co-Zn-O,Co,Zn,O,Zn3Co9O16_765468_POSCAR,-0.10279280112369354,7.199932019,-0.22660969911874,-0.12381689799504644,6.3691706322,13.5691026512,35,local_max_drop
d-block,Co-Zn-O,Co,Zn,O,ZnCoO2_1291102_POSCAR,-0.10116506489511051,3.8186918001,-0.19382796407035,-0.09266289917523948,3.360448784,7.4846359281,35,local_max_drop
d-block,Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1048280_POSCAR,-0.1008844143191978,6.27167,-0.21485540619008,-0.11397099187088221,5.5190696,12.2924732,35,local_max_drop
d-block,Co-Zn-O,Co,Zn,O,ZnCoO2_754633_POSCAR,-0.09681801714793577,3.8158148,-0.19318539464717,-0.09636737749923423,3.510549616,7.478997008,35,local_max_drop
d-block,Co-Zn-O,Co,Zn,O,ZnCoO2_1272466_POSCAR,-0.09667973046363143,6.3444154743,-0.19257434525235,-0.09589461478871858,5.8368622364,12.4350543296,35,local_max_drop
d-block,Co-Zn-O,Co,Zn,O,Zn3Co2O7_1376556_POSCAR,-0.06852082099739198,12.198809441,-0.18876407106423,-0.120243250066838,11.260439484,22.9900639465,35,local_max_drop
d-block,Co-Zn-O,Co,Zn,O,ZnCo3O7_1044368_POSCAR,-0.06499670726591969,7.19464815,-0.19336198703213,-0.12836527976621032,6.3952428,13.05695405,35,local_max_drop
d-block,Co-Zn-O,Co,Zn,O,Zn2Co3O8_1042827_POSCAR,-0.06458389230370311,7.58213274,-0.16327896459031,-0.09869507228660689,6.99889176,14.28940401,35,local_max_drop
d-block,Co-Zn-O,Co,Zn,O,Zn4CoO5_1215675_POSCAR,-0.05881436223329772,4.210201177,-0.15810693756491,-0.09929257533161229,3.886339548,7.9346099104,35,local_max_drop
d-block,Co-Zr-O,Co,Zr,O,Zr9Co3O2_1215381_POSCAR,-0.5120746412862203,8.1208584386,-0.70306426180024,-0.19098962051401974,6.9607358045,14.2115022675,35,local_max_drop
d-block,Co-Zr-O,Co,Zr,O,Zr6Co2O_1215347_POSCAR,-0.15538796590614912,8.2118266959,-0.21835866792627,-0.06297070202012088,7.0387085965,14.3706967179,35,local_max_drop
d-block,Co-Zr-O,Co,Zr,O,ZrCoO3_756665_POSCAR,-0.07050782015720782,7.298880239,-0.15073875740527,-0.0802309372480622,6.0404526116,12.3325907486,35,local_max_drop
