block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
s-block,K-O,O,K2O_776104_POSCAR,-0.1965213530310383,16.38675675,-0.24934692813402,-0.0528255751029816,14.51398455,22.94145945,35,local_max_drop,mp-776104,K2O,Tetragonal,P4_2/nmc,137,0.051067390416667,-1.182810646083332,False,1.169,False,2.1409947642857032,24,584.4615437466448,24.352564322776868,570.2903822530118,0.975753474894533,97.5753474894533
s-block,K-O,O,K2O_776016_POSCAR,-0.1911898426406794,23.020260372,-0.24868719656607,-0.0574973539253906,19.823001987,31.333132173,35,local_max_drop,mp-776016,K2O,Orthorhombic,Pbca,61,0.020421303749999,-1.213456732749999,False,1.7265,False,2.344254742699141,24,533.7854636907763,22.241060987115677,570.2903822530118,1.0683887461262582,106.83887461262583
s-block,K-O,O,K2O_1974672_POSCAR,-0.1906842665202228,16.632439614,-0.24475758074605,-0.0540733142258271,14.784390768,22.6385983635,35,local_max_drop,mp-1974672,K2O,Tetragonal,P4_2/mcm,132,0.071530355,-1.107875917083333,False,1.390399999999999,False,2.267417016147211,24,551.8742675814266,22.994761149226107,570.2903822530118,1.033370127497144,103.3370127497144
s-block,K-O,O,K2O2_998917_POSCAR,-0.0795942573732348,12.2761874725,-0.10607347068886,-0.0264792133156251,10.8731946185,17.1866624615,35,local_max_drop,mp-998917,K2O2,Hexagonal,P-62m,189,0.025785213749999,-1.259173639874999,False,2.083399999999999,False,2.549147948629754,12,215.34697519897512,17.94558126658126,217.47167463102508,1.009866400166925,100.9866400166925
s-block,K-O,O,K2O_998929_POSCAR,-0.0739180630416507,11.6411557028,-0.095214853881164,-0.0212967908395132,10.3826523836,15.4166656605,35,local_max_drop,mp-998929,K2O,Trigonal,P3,143,0.059394456666666,-1.174483579833332,False,1.853399999999999,False,2.671810555265089,9,175.6293735872819,19.51437484303132,213.8588933448793,1.2176715601539092,121.76715601539092
s-block,K-O,O,K2O_998915_POSCAR,-0.0522556268875159,7.154939481,-0.066231990450721,-0.0139763635632051,6.313181895,10.3115304285,35,local_max_drop,mp-998915,K2O,Orthorhombic,Pnnm,58,0.02955435,-1.204323686499999,False,0.6523000000000001,False,2.043060108305046,6,153.11946775886938,25.519911293144897,142.57259556325286,0.93111997873304,93.11199787330399
s-block,K-S,S,KS_1287_POSCAR,-0.0745338624712088,12.768815865,-0.11577864380576,-0.0412447813345511,11.4919342785,20.8557325795,35,local_max_drop,mp-1287,KS,Hexagonal,P-62m,189,0.0,-1.099480114947915,True,1.469,False,1.932581590949447,12,366.87539698951247,30.57294974912604,239.34040162362854,0.6523751758433405,65.23751758433404
s-block,K-S,S,K2S5_17146_POSCAR,-0.0722216087674681,9.4089777465,-0.16294113210075,-0.0907195233332818,8.7600827295,15.8979279165,35,local_max_drop,mp-17146,K2S5,Orthorhombic,P2_12_12_1,19,0.0,-0.700578589866071,True,1.929899999999999,False,2.110672500110484,28,750.6127739044418,26.80759906801578,377.3091146279614,0.5026681236256119,50.26681236256118
s-block,K-S,S,K2S5_672372_POSCAR,-0.0716247208501836,9.88440205,-0.15199019912078,-0.0803654782705963,8.8618777,16.70123105,35,local_max_drop,mp-672372,K2S5,Orthorhombic,P2_12_12_1,19,0.060601303214285,-0.6399772866517861,False,1.2407,False,1.831750584078513,28,864.9090950931815,30.889610539042195,377.3091146279614,0.43624135388160273,43.624135388160276
s-block,K-S,S,KS3_1196514_POSCAR,-0.0662771560226026,9.1124341521,-0.16202748944575,-0.0957503334231473,8.1697685502,15.3968714984,35,local_max_drop,mp-1196514,KS3,Monoclinic,P2_1/c,14,0.0,-0.618411601796874,True,1.8888999999999991,False,1.990182734819924,32,903.0720895582563,28.22100279869551,396.7053076712247,0.43928420804730633,43.928420804730635
