block,chemsys,metal_1,metal_2,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
s-block,Li-Ba-O,Li,Ba,O,BaLi4O3_1178558_POSCAR,-0.2843296271860232,9.268275237,-0.37955364050238,-0.0952240133163567,7.9052935845,13.3572201945,35,local_max_drop,mp-1178558,BaLi4O3,Orthorhombic,Cmce,64,0.08772889375,-2.164380218541667,False,3.4693,False,3.848050029283198,32,367.8153237745356,11.494228867954238,321.5226726393299,0.8741415918723868,87.41415918723868
s-block,Li-Cs-O,Li,Cs,O,CsLiO_1178395_POSCAR,-0.0755136432818384,13.219193414,-0.099513986315914,-0.0240003430340756,10.9530459716,18.5068707796,35,local_max_drop,mp-1178395,CsLiO,Tetragonal,I4/mmm,139,0.089964015,-1.5309582143295022,False,1.6344,False,3.408937069555163,12,303.6584370899942,25.304869757499517,283.35376284204443,0.9331331793625344,93.31331793625344
s-block,Li-Cs-O,Li,Cs,O,CsLiO_1178393_POSCAR,-0.07339573758885,6.75261655,-0.10116468059241,-0.02776894300356,5.65759765,8.94265435,35,local_max_drop,mp-1178393,CsLiO,Orthorhombic,Pnma,62,0.058514978333334,-1.562407250996169,False,0.0,True,4.221117612319065,12,245.23185489288528,20.43598790774044,283.35376284204443,1.1554525123410677,115.54525123410677
s-block,Li-K-O,Li,K,O,KLiO_559612_POSCAR,-0.1040491613141367,9.610891128,-0.13589974786218,-0.0318505865480432,8.276045138,13.081490702,35,local_max_drop,mp-559612,KLiO,Orthorhombic,Cmce,64,0.012296178333333,-1.63544179686111,False,2.3803,False,2.360282102014887,12,174.58537647259826,14.54878137271652,180.11923544287615,1.0316971505980999,103.16971505980999
s-block,Li-K-O,Li,K,O,KLi2O3_1103121_POSCAR,-0.0789905275271748,10.4987337675,-0.10470413986515,-0.0257136123379752,9.2261599775,15.5890289275,35,local_max_drop,mp-1103121,KLi2O3,Monoclinic,P2_1/m,11,0.217223602916667,-1.312295557319444,False,0.000799999999999,False,2.078504618672116,12,161.34555846656843,13.44546320554737,112.44571894739558,0.6969247868740983,69.69247868740983
s-block,Li-K-S,Li,K,S,KLiS_722181_POSCAR,-0.0562048378031884,6.4816781985,-0.076406998955495,-0.0202021611523066,5.854419018,10.2452332815,35,local_max_drop,mp-722181,KLiS,Hexagonal,P6_3/mmc,194,0.048966201666666,-1.33288870436111,False,2.7753,False,1.924524366187,6,134.78160526308005,22.46360087718001,97.34919338563925,0.7222735861887346,72.22735861887347
s-block,Li-K-S,Li,K,S,KLiS_8430_POSCAR,-0.0559312829677578,6.898758064,-0.077299709933449,-0.0213684269656911,6.036413306,10.5637232855,35,local_max_drop,mp-8430,KLiS,Tetragonal,P4/nmm,129,0.0,-1.381854906027777,True,3.0571,False,2.009905336028247,6,129.05606955174886,21.509344925291476,97.34919338563925,0.7543170478053666,75.43170478053666
s-block,Li-Na-O,Li,Na,O,NaLiO_755959_POSCAR,-0.1061742912071773,10.8120717651,-0.13810172742819,-0.0319274362210126,9.4605627945,16.5559848903,35,local_max_drop,mp-755959,NaLiO,Tetragonal,I4/mmm,139,0.104103931666666,-1.6395643682375471,False,1.7095,False,1.630501342546925,12,187.10524991575383,15.592104159646153,116.59822585142811,0.6231691836756463,62.31691836756463
s-block,Li-Na-O,Li,Na,O,NaLiO_755144_POSCAR,-0.0590997654826328,5.699603158,-0.077746204143314,-0.0186464386606811,5.02906161,8.214133963,35,local_max_drop,mp-755144,NaLiO,Hexagonal,P6_3/mmc,194,0.069303446666666,-1.674364853237547,False,2.8819,False,2.326659196666336,6,65.5608182808961,10.926803046816017,58.29911292571404,0.8892371153137657,88.92371153137657
s-block,Li-Na-S,Li,Na,S,NaLiS_8452_POSCAR,-0.0587815826525869,6.013891455,-0.0846470418399,-0.025865459187313,5.212039261,9.8226893765,35,local_max_drop,mp-8452,NaLiS,Tetragonal,P4/nmm,129,0.0,-1.36703557407088,True,2.264199999999999,False,1.976851617557677,6,104.15187051878621,17.358645086464367,65.58868858991521,0.6297408607566464,62.97408607566464
s-block,Li-Rb-O,Li,Rb,O,RbLiO_28545_POSCAR,-0.0918311757408767,6.304516938,-0.12218593352166,-0.0303547577807832,5.604015056,8.5811480545,35,local_max_drop,mp-28545,RbLiO,Orthorhombic,Pnma,62,0.001270019166666,-1.596113124444444,False,2.254299999999999,False,3.554029579556402,12,202.6050118156359,16.883750984636325,218.3641131393158,1.0777823864397797,107.77823864397797
s-block,Li-Rb-O,Li,Rb,O,RbLi2O3_1095542_POSCAR,-0.0696044569504817,9.2012432,-0.092864845704354,-0.0232603887538722,8.0510878,14.08940365,35,local_max_drop,mp-1095542,RbLi2O3,Monoclinic,P2_1/m,11,0.328233001666666,-1.188696103194444,False,0.0,True,2.461795499729973,12,198.77939545103703,16.56494962091975,131.56815779561538,0.661880259254652,66.1880259254652
s-block,Mg-Ba-O,Mg,Ba,O,Ba2MgO3_779511_POSCAR,-0.1725373180014359,10.1023839066,-0.2332997679935,-0.060762449992064,8.4729671475,15.9682842394,35,local_max_drop,mp-779511,Ba2MgO3,Monoclinic,C2/c,15,0.030436195416666,-2.864761999583333,False,3.6313,False,5.213934889802502,24,441.99706856570924,18.41654452357122,394.4576866231407,0.8924441239014663,89.24441239014664
s-block,Mg-Ba-O,Mg,Ba,O,BaMgO2_756018_POSCAR,-0.0726752665787847,8.963161515,-0.10274986078431,-0.0300745942055252,7.768073313,14.6398304745,35,local_max_drop,mp-756018,BaMgO2,Trigonal,P3_121,152,0.037724884166666,-2.893251054583333,False,3.1602,False,4.561553749238541,12,211.46183475365197,17.62181956280433,167.34118012672786,0.7913540536602095,79.13540536602095
s-block,Na-Ba-O,Na,Ba,O,BaNa6O4_779453_POSCAR,-0.3781585590386352,15.0505089049,-0.52787362566264,-0.1497150666240047,13.1691952918,23.0460917606,35,local_max_drop,mp-779453,BaNa6O4,Cubic,I-43m,217,0.030481822727272,-1.64942123075235,False,1.648199999999999,False,2.947442642502151,44,764.5405067947806,17.375920608972287,645.6456289516659,0.844488451839441,84.4488451839441
s-block,Na-Ba-O,Na,Ba,O,Ba2Na2O3_752395_POSCAR,-0.2601773205605336,11.1305221,-0.3512902002598,-0.0911128796992663,9.6943257,17.5934059,35,local_max_drop,mp-752395,Ba2Na2O3,Tetragonal,P4_32_12,96,0.081137966071429,-2.143403017894088,False,2.1748,False,4.276527359106488,28,572.546228906111,20.448079603789676,500.77539818528294,0.8746462257590079,87.46462257590079
