block,chemsys,metal_1,metal_2,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
d-block,Co-Ni-O,Co,Ni,O,Co2NiO4_1304693_POSCAR,-0.0607209898517167,6.8568347633,-0.12198700461566,-0.0612660147639432,5.8019371074,12.9224962846,35,local_max_drop,mp-1304693,Co2NiO4,,,,,,,,,,14,145.47727157868135,10.391233684191524,59.12360087930254,0.4064112574954745,40.64112574954745
d-block,Co-Ni-O,Co,Ni,O,Co3NiO8_753483_POSCAR,-0.0586542468794892,7.5661837119,-0.12196895635673,-0.0633147094772407,7.0057256592,13.7312222919,35,local_max_drop,mp-753483,Co3NiO8,,,,,,,,,,24,252.89263992498212,10.537193330207588,85.51599509840435,0.3381513796675607,33.81513796675607
d-block,Co-Ni-O,Co,Ni,O,Co3NiO8_773140_POSCAR,-0.0580785511763908,7.5526276254,-0.13087579475016,-0.0727972435737691,6.9931737272,13.7066205053,35,local_max_drop,mp-773140,Co3NiO8,,,,,,,,,,24,231.06657445547222,9.627773935644676,85.51599509840435,0.3700924519261601,37.00924519261601
d-block,Co-Ni-O,Co,Ni,O,Co3NiO8_752738_POSCAR,-0.0571152289375466,7.3365245255,-0.11679732528229,-0.0596820963447433,6.7930782644,13.3144333982,35,local_max_drop,mp-752738,Co3NiO8,,,,,,,,,,24,266.9645556804423,11.123523153351762,85.51599509840435,0.3203271493492468,32.03271493492468
d-block,Co-Ni-S,Co,Ni,S,Co3_Ni3S4_2_1226487_POSCAR,-0.070761451423057,8.5044415872,-0.16293955887036,-0.0921781074473029,7.8969814738,14.8827727775,35,local_max_drop,mp-1226487,Co3(Ni3S4)2,,,,,,,,,,17,244.45118501439504,14.379481471435001,111.84853988306001,0.4575495916555838,45.754959165558375
d-block,Co-Rh-S,Co,Rh,S,Co8RhS8_1188878_POSCAR,-0.0578836342060069,8.4890131391,-0.14576792136149,-0.087884287155483,7.8826550577,14.8557729934,35,local_max_drop,mp-1188878,Co8RhS8,,,,,,,,,,17,242.706058449,14.276826967588235,117.81934197192746,0.48544046541254726,48.54404654125473
d-block,Co-Ru-O,Co,Ru,O,Co5RuO8_530751_POSCAR,-0.2879931942107602,6.5830054145,-0.67643697791417,-0.3884437837034098,5.5297245482,12.9026906124,35,local_max_drop,mp-530751,Co5RuO8,,,,,,,,,,70,768.0019049335003,10.97145578476429,322.8297259796703,0.4203501630736495,42.03501630736495
d-block,Co-Ru-O,Co,Ru,O,Co9Ru3O16_531333_POSCAR,-0.2048153829336136,7.2233244597,-0.53711175904535,-0.3322963761117363,6.0675925462,14.1577159411,35,local_max_drop,mp-531333,Co9Ru3O16,,,,,,,,,,56,622.5484866605977,11.116937261796389,267.5776395798828,0.4298101197148381,42.98101197148381
d-block,Co-Ru-O,Co,Ru,O,Co5RuO8_1329603_POSCAR,-0.1997341340607247,7.4663917122,-0.61523680307866,-0.4155026690179353,7.1677360437,14.634127756,35,local_max_drop,mp-1329603,Co5RuO8,,,,,,,,,,70,768.0019342154656,10.971456203078079,322.8297259796703,0.4203501470467642,42.03501470467642
d-block,Co-Ru-O,Co,Ru,O,Co7_RuO6_2_675115_POSCAR,-0.1353556612756239,6.1671981749,-0.3989646069097,-0.263608945634076,5.6927983153,11.6227965604,35,local_max_drop,mp-675115,Co7(RuO6)2,,,,,,,,,,42,424.03670761121464,10.0961120859813,198.35476498587548,0.4677773443325111,46.77773443325111
d-block,Co-Ru-O,Co,Ru,O,Co7_RuO6_2_690550_POSCAR,-0.1255865228000793,7.5930474598,-0.37054039058002,-0.2449538677799406,6.4248863122,14.3099740589,35,local_max_drop,mp-690550,Co7(RuO6)2,,,,,,,,,,42,443.6789811487876,10.563785265447324,198.35476498587548,0.4470682033940149,44.70682033940149
d-block,Co-Ru-O,Co,Ru,O,Co2RuO4_754049_POSCAR,-0.0928025195507047,7.6305397759,-0.26961734804316,-0.1768148284924552,6.4096534117,14.9558579607,35,local_max_drop,mp-754049,Co2RuO4,,,,,,,,,,28,312.24884255562034,11.151744376986441,138.44574918801487,0.4433827458090698,44.338274580906976
d-block,Co-Ta-O,Co,Ta,O,Ta2Co4O9_773173_POSCAR,-0.1198146512849112,6.2380187105,-0.40923149015643,-0.2894168388715188,5.9781012642,12.7359548673,35,local_max_drop,mp-773173,Ta2Co4O9,,,,,,,,,,60,677.0155504267437,11.283592507112395,342.0560719577101,0.5052410860313351,50.52410860313351
d-block,Co-Ta-O,Co,Ta,O,Ta2Co4O9_885579_POSCAR,-0.1151271682082263,6.2215644,-0.40520063964297,-0.2900734714347436,5.96233255,12.70236065,35,local_max_drop,mp-885579,Ta2Co4O9,,,,,,,,,,60,675.6856274158376,11.261427123597294,342.0560719577101,0.5062355303692117,50.623553036921166
d-block,Co-Ta-O,Co,Ta,O,Ta2Co4O9_863438_POSCAR,-0.0617403585878352,6.249516336,-0.20985425737504,-0.1481138987872047,5.989119822,12.759429186,35,local_max_drop,mp-863438,Ta2Co4O9,,,,,,,,,,30,336.23605570414867,11.207868523471623,171.028035978855,0.5086546581706906,50.86546581706906
d-block,Co-Ta-S,Co,Ta,S,Ta9_CoS3_2_29580_POSCAR,-0.2295901937660199,14.9557302005,-0.42180701773642,-0.1922168239704,12.8928708625,25.2700268905,35,local_max_drop,mp-29580,Ta9(CoS3)2,,,,,,,,,,34,606.6805718072495,17.843546229624987,462.1366736786288,0.7617462881693462,76.17462881693461
d-block,Co-Ta-S,Co,Ta,S,Ta9_CoS3_2_1189705_POSCAR,-0.1131353079619921,4.8311029675,-0.21034912005602,-0.0972138120940278,4.1647439375,8.1628981175,35,local_max_drop,mp-1189705,Ta9(CoS3)2,,,,,,,,,,17,297.82611400389425,17.519183176699663,231.06833683931436,0.7758498196578323,77.58498196578323
d-block,Co-Tc-O,Co,Tc,O,Co2TcO4_36069_POSCAR,-0.0678663333907523,6.6165373009,-0.15685437293073,-0.0889880395399776,5.5578913328,12.9684131098,35,local_max_drop,mp-36069,Co2TcO4,,,,,,,,,,14,157.6991111590218,11.264222225644415,69.76228186383864,0.44237587232493164,44.23758723249316
