block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,metal
d-block,Co-O,O,CoO_1244882_POSCAR,-0.3076260919169628,12.4927407614,-0.65537407466901,-0.3477479827520472,11.4933215005,24.4857718923,35,local_max_drop,Co
d-block,Nb-S,S,Nb11S12_1173629_POSCAR,-0.2927567809484648,8.2983767111,-0.5331113709531,-0.2403545900046351,7.1537730268,14.0213951325,35,local_max_drop,Nb
d-block,Y-O,O,Y2O3_775906_POSCAR,-0.2860015767591571,8.369639221,-0.4138984894324,-0.1278969126732428,7.215206225,14.141804201,35,local_max_drop,Y
d-block,Ta-S,S,Ta6S_27467_POSCAR,-0.2798808034141286,7.7662169259,-0.48513689027867,-0.2052560868645414,6.4718474383,12.684820979,35,local_max_drop,Ta
d-block,Ti-O,O,Ti19O30_760075_POSCAR,-0.2791970389342538,7.3106677496,-0.42626793953177,-0.1470709005975161,6.8064837668,12.3525075768,35,local_max_drop,Ti
d-block,Zr-O,O,Zr4O_1215377_POSCAR,-0.2782921193608162,7.9141334349,-0.37394211008083,-0.0956499907200137,6.7835429442,13.849733511,35,local_max_drop,Zr
d-block,Sc-S,S,Sc29S42_684978_POSCAR,-0.277944709160809,8.8928752884,-0.52072728758656,-0.2427825784257509,8.2576699106,15.5625317547,35,local_max_drop,Sc
d-block,Zr-O,O,Zr3O_561418_POSCAR,-0.2770394624087309,7.9163966705,-0.37093458923765,-0.093895126828919,6.8244798883,13.3759805812,35,local_max_drop,Zr
d-block,Y-O,O,Y2O3_2652_POSCAR,-0.2750097976059873,12.5588150709,-0.39547654185071,-0.1204667442447226,10.8265647163,21.2200668439,35,local_max_drop,Y
d-block,Ni-O,O,Ni15O16_1100319_POSCAR,-0.2641469386601428,7.1154430754,-0.43800694750537,-0.1738600088452271,6.5462076293,13.9462684277,35,local_max_drop,Ni
d-block,Ti-O,O,TiO2_1245308_POSCAR,-0.2640635721117077,15.62876539,-0.46277719520256,-0.1987136230908523,14.065888851,25.5269834704,35,local_max_drop,Ti
d-block,Ni-O,O,Ni15O16_705519_POSCAR,-0.2630261974409217,8.5757738126,-0.4371026438945,-0.1740764464535782,7.8897119076,16.8085166728,35,local_max_drop,Ni
d-block,Zr-O,O,ZrO2_1100824_POSCAR,-0.2599469808328252,5.24338995,-0.51139379432953,-0.2514468134967048,4.88177685,8.85952095,35,local_max_drop,Zr
d-block,Fe-O,O,Fe41O56_757565_POSCAR,-0.2572547004958447,13.3800889595,-0.68461960850101,-0.4273649080051653,12.3508513473,25.2163215007,35,local_max_drop,Fe
d-block,Ta-O,O,Ta11O2_673681_POSCAR,-0.2558979205585986,13.7340285324,-0.43627836545709,-0.1803804448984913,11.8396797693,23.2057723478,35,local_max_drop,Ta
d-block,Fe-O,O,FeO_1245001_POSCAR,-0.2557745286063249,13.2585033974,-0.61410035517814,-0.3583258265718151,12.1978231257,25.986666659,35,local_max_drop,Fe
d-block,Rh-S,S,Rh17S15_21991_POSCAR,-0.2544271733254264,13.9242096,-0.72864553689384,-0.4742183635684136,12.9296232,24.3673668,35,local_max_drop,Rh
d-block,Cr-O,O,Cr2O3_1245208_POSCAR,-0.2536050290405825,13.7587520257,-0.62820538956521,-0.3746003605246275,12.739585209,24.9695870097,35,local_max_drop,Cr
d-block,Zr-O,O,ZrO2_1245318_POSCAR,-0.2526843562127971,15.06609708,-0.54141683959147,-0.2887324833786729,14.546576491,25.4565088593,35,local_max_drop,Zr
d-block,Cr-O,O,Cr2O3_1245247_POSCAR,-0.2517772343700338,13.6163371276,-0.6057048467918,-0.3539276124217662,12.6077195626,24.7111303428,35,local_max_drop,Cr
d-block,Zr-O,O,Zr2O_753629_POSCAR,-0.250917997451728,8.1930612369,-0.37725351553885,-0.1263355180871219,7.6280225309,13.8434482968,35,local_max_drop,Zr
d-block,Fe-O,O,FeO_1244983_POSCAR,-0.2498152573790734,13.3118772044,-0.61009219926855,-0.3602769418894765,12.246927028,26.0912793205,35,local_max_drop,Fe
d-block,Ti-O,O,TiO2_1245134_POSCAR,-0.2469870592846141,15.5434684436,-0.43595502879214,-0.1889679695075258,14.507237214,25.3876651245,35,local_max_drop,Ti
d-block,Zr-S,S,Zr3S4_684749_POSCAR,-0.2468579996847824,9.2261192933,-0.50004372826069,-0.2531857285759076,8.5898352041,15.5889601852,35,local_max_drop,Zr
d-block,Fe-O,O,Fe43O64_530050_POSCAR,-0.245042262431974,11.0892888206,-0.66996195438234,-0.4249196919503659,10.2362666036,20.8990443157,35,local_max_drop,Fe
d-block,Ti-O,O,TiO2_1245098_POSCAR,-0.24275202853251,15.7947194436,-0.41238187258904,-0.16962984405653,14.7417381474,25.7980417579,35,local_max_drop,Ti
d-block,Ta-S,S,Ta2S_555935_POSCAR,-0.2414254999743079,8.1496527465,-0.46433483395467,-0.222909333980362,7.0255627125,13.7701029165,35,local_max_drop,Ta
d-block,V-O,O,V13O16_30065_POSCAR,-0.2405167532139144,15.8294033601,-0.3934547587266,-0.1529380055126856,14.1333958572,27.7014558801,35,local_max_drop,V
d-block,Ti-O,O,TiO2_1245321_POSCAR,-0.2395429714912539,15.404109505,-0.42673145225516,-0.187188480763906,14.3771688713,25.1600455248,35,local_max_drop,Ti
d-block,Ni-O,O,Ni15O16_33255_POSCAR,-0.2393996394607156,7.0932960802,-0.42304065461219,-0.1836410151514743,6.5258323938,13.9028603173,35,local_max_drop,Ni
d-block,Co-O,O,Co29O40_705563_POSCAR,-0.2357211218030979,9.905846033,-0.54031480659263,-0.3045936847895321,9.1438578766,18.6687098314,35,local_max_drop,Co
d-block,V-S,S,V7S8_1100925_POSCAR,-0.2352500171081995,9.2597243455,-0.44756420086826,-0.2123141837600604,8.6211226665,15.6457411355,35,local_max_drop,V
d-block,Nb-O,O,NbO2_1245189_POSCAR,-0.2345078647211213,16.1746495812,-0.56235690020162,-0.3278490354804986,15.0963396091,26.4185943159,35,local_max_drop,Nb
d-block,Fe-O,O,Fe23O25_705553_POSCAR,-0.2342447737955164,8.1786245113,-0.48784165291668,-0.2535968791211636,7.5243345504,16.0301040422,35,local_max_drop,Fe
d-block,Sc-O,O,Sc2O3_216_POSCAR,-0.2334291810674431,11.6769937915,-0.34701631804527,-0.1135871369778268,10.8716838748,19.730092958,35,local_max_drop,Sc
d-block,Cr-O,O,Cr2O3_1245257_POSCAR,-0.2312367078188573,13.2928737664,-0.59865597608984,-0.3674192682709826,12.3082164503,24.1241042427,35,local_max_drop,Cr
d-block,Cr-O,O,Cr2O3_1245064_POSCAR,-0.2303642342509936,14.1830061744,-0.59242419339894,-0.3620599591479463,13.1324131244,25.7395297239,35,local_max_drop,Cr
d-block,Y-O,O,Y2O3_775907_POSCAR,-0.2293011553807831,20.5237026126,-0.32496175412821,-0.0956605987474269,17.6928470798,34.6779802764,35,local_max_drop,Y
d-block,Nb-S,S,Nb25S48_684620_POSCAR,-0.2227652343389367,17.3510431702,-0.5727554200181,-0.3499901856791632,16.1544195033,29.3172798393,35,local_max_drop,Nb
d-block,Nb-O,O,NbO2_1244881_POSCAR,-0.2227402871332395,17.1751214819,-0.50942294017835,-0.2866826530451105,16.0301133831,28.0526984205,35,local_max_drop,Nb
d-block,Ti-O,O,Ti9O17_27273_POSCAR,-0.2218913005246682,8.0142048918,-0.36304989203643,-0.1411585915117617,7.4615011061,13.5412427482,35,local_max_drop,Ti
d-block,V-O,O,V2O3_780654_POSCAR,-0.2210723609117295,7.1886584,-0.36245100615686,-0.1413786452451304,6.6751828,12.5801522,35,local_max_drop,V
d-block,V-S,S,V3S_7945_POSCAR,-0.2206463873096055,6.4327312997,-0.32463850051375,-0.1039921132041444,6.0038825463,10.5067944561,35,local_max_drop,V
