block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent,metal
d-block,Sc-O,O,Sc2O3_754455_POSCAR,-0.0558396062275589,6.7811818876,-0.082398583697323,-0.026558977469764,6.3135141712,11.4578590514,35,local_max_drop,mp-754455,Sc2O3,Trigonal,R-3,148,0.09726974075,-3.8714628999999983,False,4.053,False,3.694187737244951,10,123.9812368699078,12.39812368699078,89.54366767675377,0.7222356377256585,72.22356377256585,Sc
d-block,Sc-S,S,Sc2S3_1105836_POSCAR,-0.0646852634887339,8.67482,-0.13466562799008,-0.069980364501346,8.05519,15.180935,35,local_max_drop,mp-1105836,Sc2S3,Orthorhombic,Pnma,62,0.093005298999999,-2.078628673687498,False,1.3929,False,3.092459446386907,20,399.73057971565817,19.986528985782908,222.82478933871428,0.5574374357278772,55.74374357278772,Sc
d-block,Ta-O,O,TaO2_683983_POSCAR,-0.0552771738854162,17.1691344152,-0.17736851712931,-0.1220913432438937,16.0245254542,28.0429195449,35,local_max_drop,mp-683983,TaO2,Tetragonal,I4_1/a,88,0.37150345413611,-2.751955468486111,False,0.77,False,7.717491571565016,48,733.1009634679137,15.27293673891487,367.8087541367368,0.5017163698664747,50.17163698664747,Ta
d-block,Ta-S,S,Ta3S2_1826_POSCAR,-0.112687211608369,7.7894299665,-0.22416607575297,-0.1114788641446009,6.7150258332,13.1614506331,35,local_max_drop,mp-1826,Ta3S2,Orthorhombic,Aem2,39,0.0,-0.952723329399997,True,0.0,True,10.976451272663605,20,367.2966486092808,18.36483243046404,285.7467013999131,0.7779725257005595,77.79725257005595,Ta
d-block,Tc-O,O,Tc2O7_27485_POSCAR,-0.3130755057089796,4.687697691,-0.37474705355392,-0.0616715478449404,8.27240769,13.511599227,35,local_max_drop,mp-27485,Tc2O7,Orthorhombic,Pbca,61,0.0,-1.799278561388888,True,2.6664,False,3.708062960045716,36,551.7048267620728,15.325134076724243,140.16559942545692,0.2540590414045887,25.405904140458876,Tc
d-block,Ti-O,O,Ti2O_1215_POSCAR,-0.0514449279103111,4.135711216,-0.068111906466237,-0.0166669785559258,3.840303272,7.237494628,35,local_max_drop,mp-1215,Ti2O,Trigonal,P-3m1,164,0.0,-2.035562333888889,True,0.0,True,5.09095651040831,3,36.44456111186841,12.14818703728947,35.518829786325384,0.9745989168945828,97.45989168945827,Ti
d-block,Ti-S,S,Ti3S2_1217073_POSCAR,-0.0528628078659885,6.064699081,-0.078868891616864,-0.0260060837508754,5.6315062895,10.6132233917,35,local_max_drop,mp-1217073,Ti3S2,Trigonal,R32,155,0.298872062499999,-1.141571572999999,False,0.0,True,4.178284977229527,5,82.55670522286181,16.51134104457236,61.16995055804688,0.740944668187988,74.0944668187988,Ti
d-block,V-O,O,V2O3_796380_POSCAR,-0.0156082497563143,10.5483839881,-0.20284059056455,-0.1872323408082356,12.1111075419,19.1433635339,35,local_max_drop,mp-796380,V2O3,Triclinic,P-1,2,2.913870370750001,0.3793226775,False,0.0,True,4.537620887630232,40,438.7913296037252,10.96978324009313,268.9418447737779,0.6129151298788441,61.29151298788441,V
d-block,V-S,S,V3S4_799_POSCAR,-0.0568080103591953,13.163230384,-0.11245349415776,-0.0556454837985646,12.709325888,22.241320304,35,local_max_drop,mp-799,V3S4,Hexagonal,P6_3/m,176,0.056969857857135,-1.300097730714278,False,0.0,True,4.029684720166832,14,231.65673045157808,16.546909317969863,128.80723401825614,0.5560262970437632,55.60262970437632,V
d-block,Y-O,O,Y2O3_673247_POSCAR,-0.0677406436488581,7.67443675,-0.099866144207217,-0.0321255005583588,6.61589375,12.96715175,35,local_max_drop,mp-673247,Y2O3,Cubic,Pn-3m,224,0.492873679749999,-3.460998242999999,False,0.0,True,5.058089909619062,10,148.26393649585364,14.826393649585365,122.14921063081104,0.8238632638371035,82.38632638371035,Y
d-block,Y-S,S,Y2S3_1188645_POSCAR,-0.0994782563188775,5.41709203,-0.18789930207713,-0.0884210457582524,4.64322174,9.4799110525,35,local_max_drop,mp-1188645,Y2S3,Orthorhombic,Pnma,62,0.008065812999999,-2.3745815576875,False,0.6665000000000001,False,4.210834171069141,20,432.2172865284038,21.61086432642019,288.0358752468288,0.6664145193274218,66.64145193274219,Y
d-block,Zn-O,O,ZnO_997630_POSCAR,-0.1136383585203062,3.8193468875,-0.26250185075305,-0.1488634922327437,3.5137991365,7.4859198995,35,local_max_drop,mp-997630,ZnO,Hexagonal,P6_3/mmc,194,0.173243653333332,-1.617655459166667,False,0.5425999999999991,False,6.597744974458736,24,245.86914945500465,10.244547893958526,105.72560093395477,0.4300075921208777,43.00075921208777,Zn
d-block,Zn-S,S,ZnS_1196782_POSCAR,-0.0591086933613166,5.0331996893,-0.20418668455095,-0.1450779911896333,4.8396150858,9.4856455683,35,local_max_drop,mp-1196782,ZnS,Trigonal,R3m,160,0.011916026190476,-0.95078232343006,False,1.986399999999999,False,3.979843096537789,36,732.0562295580811,20.33489526550225,224.1945823787422,0.3062532266327155,30.625322663271547,Zn
d-block,Zr-O,O,ZrO2_963_POSCAR,-0.0592407180916191,4.9125333,-0.11024021105901,-0.0509994929673908,4.5737379,8.3004873,35,local_max_drop,mp-963,ZrO2,Orthorhombic,Pnma,62,0.103069525833333,-3.710548229166665,False,2.8574,False,6.508923782587941,12,125.74507253761897,10.47875604480158,99.43127344483042,0.7907369365514003,79.07369365514003,Zr
d-block,Zr-S,S,Zr3S_1188005_POSCAR,-0.0533113712157117,6.19385045,-0.082180086771927,-0.0288687155562152,5.76668835,10.46547145,35,local_max_drop,mp-1188005,Zr3S,Cubic,Pm-3m,221,0.615779533374999,-0.338658789375,False,0.0,True,6.513568106794313,4,77.9431832570406,19.48579581426015,72.19694077214703,0.9262765229135737,92.62765229135736,Zr
