chemsys,source,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
Ti-S,Ti3S2_1217073_POSCAR,mp-1217073,Ti3S2,Trigonal,R32,155,0.298872062499999,-1.141571572999999,False,0.0,True,4.178284977229527,5,82.55670522286181,16.51134104457236,61.16995055804688,0.740944668187988,74.0944668187988
Ti-S,Ti5S8_1217445_POSCAR,mp-1217445,Ti5S8,Monoclinic,Pm,6,0.031617440512821,-1.664435762307691,False,0.0,True,3.429577789391487,39,720.2518642564844,18.467996519397037,373.73642844165596,0.5188968567647706,51.88968567647706
Ti-S,Ti7S12_673657_POSCAR,mp-673657,Ti7S12,Triclinic,P-1,2,0.0,-1.672311393333331,True,0.0,True,3.390550591130881,38,705.0992784874054,18.555244170721195,356.57914376285095,0.5057148044851109,50.57148044851109
Ti-S,Ti8S3_680850_POSCAR,mp-680850,Ti8S3,Monoclinic,C2/m,12,0.007596891666665,-1.018810084696969,False,0.0,True,4.732975207820129,44,672.4022068776571,15.281868338128572,607.221688851552,0.9030632003294947,90.30632003294947
Ti-S,Ti9S10_673637_POSCAR,mp-673637,Ti9S10,Triclinic,P1,1,0.039519474122807,-1.676394082719297,False,0.0,True,4.163818216876962,57,899.0428964109641,15.772682393174808,608.7181341522119,0.6770735151595692,67.70735151595692
V-O,V10O9_705541_POSCAR,mp-705541,V10O9,Triclinic,P-1,2,0.212360722302632,-1.788597982894736,False,1.2156,False,5.165344527226439,19,210.05610786949595,11.055584624710313,160.8630904113196,0.7658101068465999,76.58101068465999
V-O,V12O29_773019_POSCAR,mp-773019,V12O29,Monoclinic,C2/m,12,0.039493907195124,-2.283690791829268,False,0.5418000000000001,False,3.389066067264447,41,526.8547166786533,12.850115040942763,214.95324829620125,0.4079934021494366,40.799340214943655
V-O,V13O16_30065_POSCAR,mp-30065,V13O16,Tetragonal,I4_1/amd,141,0.6766213945402301,-1.653997173965518,False,0.0,True,3.324379532660804,58,917.3180173696626,15.815827885683838,428.60067475638215,0.46723237376865323,46.72323737686532
V-O,V16O3_30064_POSCAR,mp-30064,V16O3,Tetragonal,I4/mmm,139,1.396071090065791,0.7290848549999991,False,0.0,True,4.469497007704616,38,641.3019169804188,16.87636623632681,487.3047515415147,0.759867916559485,75.98679165594851
V-O,V25O32_685164_POSCAR,mp-685164,V25O32,Monoclinic,C2,5,0.077790833918131,-2.293715779649123,False,0.232699999999999,False,4.585246072420838,57,646.6224156460461,11.344252906070984,413.59820010109394,0.6396286149280247,63.96286149280247
V-O,V2O3_1043388_POSCAR,mp-1043388,V2O3,Orthorhombic,Cmcm,63,0.23553653125,-2.299011162,False,0.0,True,4.10007431531783,20,242.80885503966755,12.140442751983377,134.47092238688901,0.5538139140968338,55.38139140968338
V-O,V2O3_1272087_POSCAR,mp-1272087,V2O3,Triclinic,P1,1,0.085874333583333,-2.448673359666667,False,1.520699999999999,False,4.762620363472198,15,156.77310134465537,10.451540089643691,100.85319179016682,0.643306733904866,64.33067339048661
V-O,V2O3_21579_POSCAR,mp-21579,V2O3,Cubic,Ia-3,206,0.0,-2.53454769325,True,0.0,True,4.537545604148263,40,438.798610220309,10.969965255507725,268.9418447737779,0.6129049602931729,61.29049602931729
V-O,V2O3_715514_POSCAR,mp-715514,V2O3,Monoclinic,C2/c,15,0.019436027250002,-2.515111666,False,0.0,True,4.635027441819093,10,107.39249811862632,10.739249811862631,67.23546119344452,0.6260722338275051,62.60722338275051
