block,chemsys,metal_1,metal_2,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent,pair
s-block,Rb-Be-O,Rb,Be,O,Rb2Be2O3_1345479_POSCAR,-0.074320818346162,14.0185822,-0.13423482886429,-0.0599140105181279,12.8819404,18.5651494,35,local_max_drop,mp-1345479,Rb2Be2O3,Tetragonal,P4_12_12,92,0.031245933214285,-2.346477464642857,False,3.6315,False,3.708310170957122,28,424.4286700216904,15.158166786488945,400.9168178740822,0.9446035251426192,94.46035251426191,Be-Rb
s-block,Be-Sr-O,Be,Sr,O,SrBe3O4_27791_POSCAR,-0.0564663187782247,7.117133543,-0.092905335755273,-0.0364390169770482,5.969208778,11.249662697,35,local_max_drop,mp-27791,SrBe3O4,Hexagonal,P-62c,190,0.0,-3.112535916875,True,4.1295,False,3.641867279149913,16,162.9176276603905,10.182351728774409,93.98863591288448,0.5769089401965036,57.690894019650365,Be-Sr
s-block,Cs-Ca-O,Cs,Ca,O,Cs2CaO2_753803_POSCAR,-0.0916648706838207,11.7715248,-0.14361021289939,-0.0519453422155692,9.4826172,16.0223532,35,local_max_drop,mp-753803,Cs2CaO2,Orthorhombic,Pbcn,60,0.093233114999999,-1.937322568862069,False,2.3181,False,4.366103274126179,20,514.0288234670413,25.701441173352062,587.776671269662,1.1434702577672655,114.34702577672655,Ca-Cs
s-block,Ca-Sr-O,Ca,Sr,O,SrCa3O4_978844_POSCAR,-0.0612419592001643,7.66614965,-0.085439090955807,-0.0241971317556426,6.67696905,12.11746235,35,local_max_drop,mp-978844,SrCa3O4,Cubic,Pm-3m,221,0.040153662499999,-3.208266763749999,False,3.3723,False,3.731162869927697,8,120.98646396705388,15.123307995881731,104.38543520704516,0.8627860653524896,86.27860653524895,Ca-Sr
s-block,Li-Cs-O,Li,Cs,O,CsLiO_1178393_POSCAR,-0.07339573758885,6.75261655,-0.10116468059241,-0.02776894300356,5.65759765,8.94265435,35,local_max_drop,mp-1178393,CsLiO,Orthorhombic,Pnma,62,0.058514978333334,-1.562407250996169,False,0.0,True,4.221117612319065,12,245.23185489288528,20.43598790774044,283.35376284204443,1.1554525123410675,115.54525123410676,Cs-Li
s-block,Cs-Mg-O,Cs,Mg,O,Cs2MgO2_1178409_POSCAR,-0.1677527347899395,12.2111766,-0.26056654100507,-0.0928138062151304,10.8543792,16.62076815,35,local_max_drop,mp-1178409,Cs2MgO2,Monoclinic,P2_1/c,14,0.0636705475,-1.859801047362069,False,2.0341,False,4.202925265140574,40,1018.1176506090076,25.45294126522519,1086.7994126126196,1.0674595533851403,106.74595533851404,Cs-Mg
s-block,Rb-Cs-O,Rb,Cs,O,CsRbO_754171_POSCAR,-0.0813441923487838,9.0721512,-0.10633092361193,-0.0249867312631461,8.3161386,12.3482058,35,local_max_drop,mp-754171,CsRbO,Orthorhombic,Pnma,62,0.064482956666668,-1.092224502385057,False,1.253599999999999,False,4.337845361616444,12,358.87396822976444,29.90616401914704,426.62459622211367,1.1887866883367053,118.87866883367052,Cs-Rb
s-block,Cs-Sr-O,Cs,Sr,O,Cs2Sr2O3_753801_POSCAR,-0.0808442073719472,12.7763262,-0.11935916914139,-0.0385149617694427,10.5216804,18.4129407,35,local_max_drop,mp-753801,Cs2Sr2O3,Monoclinic,P2_1/c,14,0.067239008571429,-2.196080097758621,False,2.394599999999999,False,4.471665701297922,14,363.21370911772055,25.94383636555147,374.8615877561441,1.0320689399822414,103.20689399822412,Cs-Sr
s-block,Li-K-O,Li,K,O,KLi2O3_1103121_POSCAR,-0.0789905275271748,10.4987337675,-0.10470413986515,-0.0257136123379752,9.2261599775,15.5890289275,35,local_max_drop,mp-1103121,KLi2O3,Monoclinic,P2_1/m,11,0.217223602916667,-1.312295557319444,False,0.000799999999999,False,2.078504618672116,12,161.34555846656843,13.44546320554737,112.44571894739558,0.6969247868740983,69.69247868740983,K-Li
s-block,Li-K-S,Li,K,S,KLiS_8430_POSCAR,-0.0559312829677578,6.898758064,-0.077299709933449,-0.0213684269656911,6.036413306,10.5637232855,35,local_max_drop,mp-8430,KLiS,Tetragonal,P4/nmm,129,0.0,-1.381854906027777,True,3.0571,False,2.009905336028247,6,129.05606955174886,21.50934492529148,97.34919338563924,0.7543170478053666,75.43170478053666,K-Li
